%WER = 25.35
Errors: 101 insertions, 717 deletions, 781 substitutions, over 6307 reference words (4809 correct)
Search below for sections starting with PER-UTT DETAILS:, SUBSTITUTIONS:, DELETIONS:, INSERTIONS:, PER-WORD STATS:

PER-UTT DETAILS: corr or (ref->hyp)  
1682990149.6027413-split_v1-483200-674250_11617-11617:	(rồi vầng->dạ)
1687505868.9789002-split_v1-0-473610_12609-12609:	(vâng->vầng) anh ơi em ở (*->bên) bưu cục gốc có cái đơn (*->vào) của bạn mai hoa (ấy->*) ở địa chỉ là (bảy->bẩy) chín thanh đàm phượng (*->thành phố) phường thanh trì hoàng mai hà nội anh phát được cho khách (chưa->*)
1687508169.9796028-split_v1-512000-1110090_2071-2071:	(thì->*) em (lưu->luôn) cho mình (cái ngày->rồi) hai chín (thì cuối giờ->gì cố ra) cố gắng (ra đấy->giao đến) nhận hộ em nhá
1687571112.9825994_22309-22309:	có cần mã hay gì không
1687573191.9829485-split_v1-0-387530_1381-1381:	(vâng->*)
1687575394.9835370-split_v1-1580800-2098250_8554-8554:	tám năm tám chín tám (không->sáu) đúng không vầng
1687576019.9836911-split_v1-0-336330_14582-14582:	a lô
1687576471.9838142_21762-21762:	a lô a lô mình (có->*) phải (hải yến->gì đúng) không ạ (ai ý nhở->dạ) em bên bưu điện mà không biết nhà mình có ai tên là hải yến không (anh->*) nhở có (em ơi->*)
1687577740.9841939-split_v1-0-528010_9478-9478:	(à->*) đây rồi chị ơi lê thị oanh chị ơi đơn hàng (này->*) có vấn đề gì (vậy->*)
1687594350.9861838-split_v1-0-477450_15790-15790:	(ờ->*)
1687742534.9889298-split_v1-0-275850_6757-6757:	a lô mình phải (hùng->*) nguyễn (*->đúng) không ạ
1687746584.9898936_18510-18510:	(anh->*) ơi anh có cái đơn hàng gửi cho người nhận tên là anh ở yên (giáp tiến thịnh->dát đến thị) mê (linh->anh) hà nội bên em (đi->bưu) phát mấy ngày gọi không nghe máy đâu (cho em hướng->trời muốn) xử lý
1687747912.9903122_27598-27598:	thế để chị (cho hỏi->xem) lại
1687751648.9914928_19392-19392:	vầng vầng hôm nay phát lại giúp em với ạ
1687753366.9919081-split_v1-985600-1756810_2787-2787:	anh (ơi anh->*) đọc địa chỉ (hộ->của) em cái
1687765743.9937013-split_v1-0-210250_2089-2089:	(vâng->*) chào (anh->*) em bên (bưu điện->*) hà nội (ạ->đã) thẻ bảo hiểm y tế của mình đã đến hạn để đóng tiếp ý (của->*) lê thị xuân có phải của nhà mình không
1687767811.9945845-split_v1-1129600-1642570_5184-5184:	thế thì lúc nào ra cũng được
1687770253.9954596-split_v1-0-496010_8475-8475:	đều mất hết rồi thì có phải ghi vào không ạ
1687781046.9970800-split_v1-0-408010_15937-15937:	em chào chị ạ

SUBSTITUTIONS: count ref -> hyp
11   vâng -> vầng
9   alo -> a
4   ạ -> à
4   em -> anh
4   bảy -> bẩy
3   ấy -> ý
3   đến -> đấy
3   đấy -> ấy
3   đấy -> đến
3   vầng -> vâng
3   thanh -> xanh
3   ra -> giao
3   năm -> lăm
3   nhớ -> nhá
3   lấy -> ấy
3   lăm -> năm
3   chị -> thì
3   cho -> xem
2   ấy -> đấy
2   đấy -> đây
2   đây -> đấy
2   đi -> đây
2   ô -> ok
2   à -> ạ
2   xã -> dạ
2   vũ -> bưu
2   vì -> v
2   tên -> đơn
2   thế -> thì
2   thì -> thế
2   thì -> chị
2   shop -> suốt
2   sao -> xong
2   này -> lại
2   là -> nó
2   không -> có
2   hông -> không
2   hôm -> không
2   hoà -> hòa
2   gì -> vì
2   em -> bên
2   cám -> cảm
2   chị -> trị
2   chị -> chỉ
2   chưa -> rồi
2   biết -> bưu
2   anh -> em
1   ừ -> rồi
1   ở -> địa
1   ở -> đấy
1   ở -> này
1   ở -> mà
1   ở -> là
1   ở -> hỏi
1   ở -> hiểu
1   ở -> gì
1   ở -> của
1   ở -> có
1   ờ -> a
1   ổ -> à
1   ấy -> đúng
1   ấy -> à
1   ấy -> máy
1   ấy -> lúc
1   ấy -> hình
1   ảnh -> này
1   ạ -> đã
1   ạ -> gọi
1   ạ -> dạ
1   ơn -> về
1   ơ -> ở
1   đức -> tức
1   đức -> tiền
1   đức -> thị
1   đứa -> đường
1   đồng -> nó
1   đống -> đóng
1   đọc -> nó
1   đọc -> là
1   địa -> lý
1   để -> thôi
1   để -> thì
1   đến -> bên
1   đặt -> được
1   đặng -> xem
1   đẩy -> để
1   đấy -> để
1   đấy -> đâu
1   đấy -> điêu
1   đấy -> đi
1   đấy -> à
1   đấy -> lấy
1   đạo -> đào
1   được -> ở
1   được -> đúng
1   được -> đâu
1   được -> rồi
1   đường -> đưang
1   đưa -> bưu
1   đơn -> đâu
1   đơn -> ô
1   đơn -> thôi
1   đúng -> số
1   đúng -> của
1   đó -> nó
1   đã -> đúng
1   đây -> xong
1   đáng -> báo
1   đuôi -> vui
1   điện -> đơn
1   điện -> điệnk
1   điện -> tòa
1   điện -> thiện
1   điện -> biên
1   điển -> tiền
1   đi -> ý
1   đi -> y
1   đi -> như
1   đi -> gì
1   đi -> bưu
1   đang -> đã
1   đang -> ra
1   đang -> phảiác
1   đan -> an
1   ý -> ét
1   ý -> r
1   ý -> nhưng
1   ý -> gì
1   ý -> cho
1   ô -> kem
1   á -> năm
1   á -> che
1   à -> ở
1   à -> vầng
1   à -> nhận
1   à -> mới
1   à -> hả
1   yến -> đúng
1   yêu -> bưu
1   xê -> tê
1   xã -> trợ
1   xã -> anh
1   xuân -> phân
1   xong -> sao
1   xong -> hộ
1   xin -> vầng
1   xin -> mười
1   xem -> trên
1   xem -> hỏi
1   xem -> cho
1   xe -> tra
1   xa -> ta
1   vợ -> bảo
1   với -> ở
1   với -> ý
1   với -> và
1   với -> của
1   với -> bưu
1   vỏ -> bỏ
1   vệ -> về
1   vệ -> không
1   về -> phải
1   vậy -> về
1   vậy -> chị
1   vầng -> chị
1   văn -> vẫn
1   văn -> vâng
1   văn -> mêu
1   văn -> hoành
1   võ -> gọi
1   vì -> thì
1   vì -> cái
1   vì -> bên
1   vâng -> ứng
1   vâng -> vẫn
1   vào -> ở
1   vào -> và
1   vào -> dạ
1   vào -> bạn
1   và -> của
1   viết -> biết
1   vietjet -> ghép
1   vietcombank -> việtco
1   vib -> vp
1   vang -> vâng
1   từ -> thì
1   từ -> oát
1   tế -> cái
1   tập -> biên
1   tại -> việc
1   tại -> lại
1   tưởng -> thử
1   tý -> đi
1   tôi -> doi
1   tôi -> bật
1   tên -> tênh
1   tân -> tin
1   tám -> trăm
1   tá -> ta
1   tá -> hôm
1   tàu -> sau
1   tuần -> tên
1   tuyến -> ơn
1   tuyến -> từ
1   tuyên -> bảo
1   trừ -> chừng
1   trọng -> cục
1   trịnh -> chị
1   trẻ -> hiệu
1   trần -> sân
1   trả -> giả
1   trường -> trên
1   trình -> chỉnh
1   tiếp -> biết
1   tiến -> đến
1   thực -> từ
1   thịnh -> thị
1   thể -> đưa
1   thể -> thẻ
1   thế -> đây
1   thế -> về
1   thế -> vầng
1   thế -> tên
1   thế -> thấy
1   thế -> là
1   thế -> bây
1   thẻ -> thế
1   thẳng -> học
1   thất -> sp
1   thấm -> thắm
1   thạch -> hải
1   thường -> thì
1   thưa -> thương
1   thơm -> thôn
1   thông -> không
1   thôi -> thế
1   thí -> thế
1   thì -> được
1   thì -> xem
1   thì -> vì
1   thì -> từ
1   thì -> rồi
1   thì -> qua
1   thì -> nên
1   thì -> lấy
1   thì -> gì
1   thì -> dịch
1   thì -> bà
1   thêm -> nhưng
1   tháng -> là
1   thái -> hải
1   thành -> thanh
1   thuộc -> tụ
1   thoại -> hòa
1   thoại -> hàng
1   thiếu -> chỉ
1   thi -> shom
1   thay -> thấy
1   thanh -> thấy
1   thanh -> anh
1   tay -> tai
1   tao -> ta
1   tam -> tầm
1   sửa -> sự
1   sử -> chị
1   số -> tú
1   số -> thuốc
1   số -> phường
1   số -> có
1   sẽ -> thầy
1   sẽ -> phải
1   sót -> xót
1   shop -> trả<unk
1   shop -> số
1   shop -> shock
1   ship -> bật
1   sen -> xem
1   sava -> sau
1   sau -> sao
1   sao -> xuống
1   sao -> hai
1   sao -> bạn
1   rồi -> để
1   rồi -> đấy
1   rồi -> được
1   rồi -> ý
1   rồi -> vầng
1   rồi -> thôi
1   rồi -> thì
1   rồi -> giờ
1   rồi -> dạ
1   rất -> gửi
1   ra -> thủy
1   ra -> bưu
1   quốc -> phúc
1   quốc -> cấp
1   quầy -> quê
1   quả -> quản
1   quạt -> có
1   quán -> quá
1   quá -> có
1   qua -> quang
1   pê -> xe
1   pin -> viên
1   phận -> nữa
1   phải -> về
1   phải -> này
1   phải -> bưu
1   phạm -> chả
1   phạm -> bin
1   phượng -> phường
1   phú -> khu
1   phòng -> không
1   phí -> chi
1   phát -> nãy
1   phát -> khăn
1   phong -> không
1   phiếu -> trường
1   phan -> văn
1   ok -> điện
1   ok -> ô
1   ok -> số
1   ok -> nghe
1   nữa -> hả
1   nội -> thạ
1   nổ -> đổi
1   nếu -> đúng
1   nếu -> số
1   nếu -> nó
1   nếu -> dưới
1   nó -> đơn
1   nó -> đúng
1   nó -> đã
1   nó -> thấy
1   nó -> nào
1   nó -> báo
1   này -> ấy
1   này -> kê
1   này -> cái
1   nào -> là
1   ninh -> nông
1   những -> nhớ
1   nhở -> nhờ
1   nhớ -> nhở
1   nhể -> à
1   nhận -> điện
1   nhận -> nhà
1   nhầm -> trăm
1   nhầm -> năm
1   nhưng -> thế
1   nhưng -> thì
1   như -> rồi
1   như -> hả
1   như -> bưu
1   nhé -> nhá
1   nhân -> lê
1   nhá -> rồi
1   nhá -> nhờ
1   nhá -> nhớ
1   nhá -> nha
1   nhàn -> với
1   nhà -> tiến
1   nhà -> nha
1   nhà -> anh
1   nhuế -> nhuyễu
1   nhu -> nhuy
1   nhu -> nhung
1   nha -> rồi
1   nha -> nhá
1   người -> với
1   ngày -> này
1   ngày -> nghìn
1   ngày -> em
1   nguyệt -> nguyễn
1   nguyễn -> biển
1   nguyên -> nguyễn
1   ngoài -> ừ
1   nghỉ -> nha
1   nghỉ -> gửi
1   nghĩa -> thế
1   nghĩa -> miễn
1   ngay -> anh
1   nay -> hay
1   nay -> hai
1   nam -> lam
1   mỹ -> vĩnh
1   mỹ -> bị
1   mới -> mình
1   mới -> minh
1   mới -> bên
1   mấy -> mười
1   mấy -> minh
1   mất -> mắc
1   mất -> lắm
1   mất -> có
1   mười -> bốn
1   mươi -> mười
1   mùng -> một
1   mùng -> mua
1   mình -> ấn
1   mình -> với
1   mình -> một
1   mình -> bình
1   mày -> nói
1   màu -> mà
1   mà -> và
1   mà -> viết
1   minh -> mình
1   mai -> thoại
1   mai -> mà
1   mai -> maild
1   ma -> mai
1   lịch -> với
1   lần -> là
1   lấy -> ở
1   lấy -> ạ
1   lấy -> đấy
1   lấy -> đúng
1   lấy -> này
1   lấy -> ngày
1   lấy -> lại
1   lại -> đấy
1   lại -> này
1   lại -> người
1   lại -> ngày
1   lại -> gọi
1   lại -> gì
1   lạ -> là
1   lượng -> phượng
1   lương -> luôn
1   lưu -> luôn
1   lưu -> linh
1   lưu -> giunk
1   lý -> mình
1   lô -> đi
1   lô -> rồi
1   lô -> hai
1   lên -> đơn
1   lê -> lên
1   lâm -> là
1   làm -> rằng
1   làm -> nào
1   là -> ạ
1   là -> vào
1   là -> thẻ
1   là -> rồi
1   là -> này
1   là -> la
1   là -> hoàn
1   là -> giờ
1   luân -> luôn
1   linh -> lên
1   linh -> anh
1   kể -> phải
1   ký -> tình
1   kính -> được
1   kí -> tiếp
1   kim -> khi
1   kia -> đưa
1   không -> ạ
1   không -> à
1   không -> xong
1   không -> số
1   không -> sáu
1   không -> qua
1   không -> lưu
1   không -> lên
1   không -> lái
1   không -> hông
1   không -> còn
1   khâu -> kho
1   khách -> khanh
1   khách -> em
1   khác -> phát
1   khoảng -> gửi
1   khi -> thì
1   kem -> các
1   hủy -> ở
1   hủy -> gì
1   hủy -> dạ
1   hợp -> tục
1   hộ -> vầng
1   hộ -> của
1   họp -> đi
1   học -> đơn
1   học -> nhà
1   họ -> nọ
1   hẹn -> lại
1   hải -> gì
1   hả -> ở
1   hưng -> hương
1   hơn -> bốn
1   hôm -> ông
1   hôm -> thu
1   hòa -> ok
1   hành -> ừ
1   hàng -> màu
1   hàng -> hằng
1   huỷ -> hủy
1   hoàn -> vào
1   hoàn -> hỏi
1   hoàn -> hàng
1   hoàn -> hoãn
1   hoàn -> hoàng
1   hiệp -> nghiệp
1   hiểu -> nhở
1   hiểm -> hỗ
1   hay -> hơi
1   hay -> hai
1   hai -> địa
1   hai -> cái
1   gửi -> rồi
1   gửi -> cho
1   gọi -> ngoại
1   gọi -> coiforýp
1   gỉa -> chỗ
1   gấp -> gốc
1   gạo -> khám
1   gì -> dạ
1   gì -> chị
1   giữ -> thế
1   giữ -> hoài
1   giời -> rồi
1   giờ -> ạ
1   giờ -> sĩ
1   giờ -> ra
1   giờ -> giỏ
1   giấy -> thanh
1   giả -> thiện
1   giả -> dám
1   giúp -> cho
1   giáp -> dát
1   giá -> tá
1   giày -> giê
1   giao -> kho
1   giang -> dạ
1   gia -> ba
1   em -> ừm
1   em -> thẻ
1   em -> sợ
1   em -> sh
1   em -> nên
1   em -> muốn
1   em -> cảm
1   e -> ắc
1   dạ -> vầng
1   dạ -> vâng
1   dạ -> rồi
1   dạ -> nói
1   dạ -> như
1   dạ -> khách
1   dạ -> dạo
1   dạ -> có
1   dạ -> bạn
1   dương -> dinh
1   dùm -> giùm
1   dù -> dùng
1   cửa -> ký
1   cứ -> phú
1   của -> hoặc
1   cổng -> vầng
1   cổng -> cầu
1   cậu -> có
1   cầu -> phục
1   cầu -> cấu
1   cầu -> cuộc
1   cầm -> tổng
1   cầm -> có
1   cấn -> gần
1   cảm -> vâng
1   cảm -> lỗi
1   cảm -> cắm
1   cả -> hả
1   cả -> có
1   cạnh -> các
1   cước -> xong
1   cư -> không
1   cơ -> cư
1   cũ -> cứ
1   căn -> sơn
1   cúp -> cước
1   cúp -> cúc
1   cô -> hôm
1   có -> thế
1   có -> cứ
1   có -> bởi
1   còn -> con
1   cây -> đai
1   cám -> em
1   cái -> về
1   cái -> số
1   cái -> rồi
1   cái -> nói
1   cái -> chị
1   các -> cách
1   cuối -> cố
1   cuối -> bốn
1   cs -> vê
1   con -> qua
1   con -> cô
1   code -> cố
1   chửi -> thử
1   chừ -> kêu
1   chứ -> ý
1   chứ -> sẽ
1   chứ -> rồi
1   chủ -> chính
1   chờ -> trơn
1   chỗ -> đồng
1   chỗ -> có
1   chỗ -> chợ
1   chỗ -> chưa
1   chỗ -> cháu
1   chị -> trợ
1   chị -> thị
1   chị -> sao
1   chị -> giả
1   chị -> báo
1   chắc -> ở
1   chắc -> cháu
1   chật -> chắt
1   chả -> thế
1   chương -> chứ
1   chưa -> được
1   chúng -> cho
1   chú -> trú
1   chín -> chỉ
1   chín -> chính
1   chào -> thưa
1   chuẩn -> chưa
1   chuyện -> chuyển
1   chuyển -> thẻ
1   chuyển -> sửa
1   chuyển -> hoàn
1   chuyển -> chị
1   chung -> cũng
1   chu -> là
1   cho -> trời
1   cho -> ta
1   cho -> sẽ
1   cho -> giúp
1   chiều -> kìa
1   chiều -> gì
1   bọn -> để
1   bọn -> của
1   bọn -> anh
1   bị -> thấy
1   bận -> bảo
1   bẩy -> để
1   bảy -> đấy
1   bảo -> áo
1   bảo -> sau
1   bảo -> mà
1   bảo -> hỏi
1   bảo -> bảy
1   bảo -> báo
1   bản -> bạn
1   bạn -> em
1   bạn -> bênh
1   bạch -> đấy
1   bạch -> bật
1   bưu -> ở
1   bưu -> đâu
1   bưu -> xá
1   bưu -> không
1   bưu -> em
1   bùi -> pháting
1   bên -> được
1   bên -> đi
1   bên -> trên
1   bên -> là
1   béo -> báo
1   bãi -> máy
1   bây -> mình
1   báo -> bảo
1   bà -> mã
1   biết -> nghe
1   biết -> cái
1   bao -> bác
1   ba -> bao
1   app -> appe
1   anh -> xem
1   anh -> vầng
1   anh -> nguyễn
1   anh -> nam
1   anh -> hay
1   anh -> gọi
1   anh -> cái
1   an -> văn
1   alo -> lô
1   ai -> thế
1   ai -> lô
1   ai -> hai
1   ai -> dạ
1   a -> mẹ
1   a -> mẫu
1   a -> lộ
1   a -> hai
1   a -> ba

DELETIONS: count ref
38   em
25   rồi
21   ạ
17   chị
17   anh
16   dạ
15   là
15   không
14   à
13   có
12   vầng
12   vâng
11   ở
11   a
10   ơi
10   thì
10   lô
9   ý
9   mình
8   nhá
8   kê
7   ấy
7   để
7   được
7   thế
7   cho
6   ô
6   mà
6   lại
6   hay
6   cái
6   bên
6   ba
5   đi
5   phải
5   một
5   của
4   ừ
4   ơn
4   đến
4   đúng
4   đây
4   điện
4   thôi
4   nên
4   hà
4   bưu
3   ờ
3   đấy
3   với
3   trong
3   thông
3   sáu
3   nội
3   này
3   nào
3   nhưng
3   ngày
3   lưu
3   hàng
3   cả
3   chưa
3   bảo
3   ai
2   đưa
2   đâu
2   y
2   về
2   vậy
2   và
2   tôi
2   tám
2   trung
2   tao
2   phát
2   phong
2   ok
2   nữa
2   nó
2   nhở
2   như
2   người
2   mai
2   lỡ
2   lấy
2   làm
2   hộ
2   họ
2   hướng
2   hôm
2   hoàn
2   gửi
2   gọi
2   giờ
2   giúp
2   ghi
2   dưới
2   cảm
2   cơ
2   chỗ
2   chuyển
2   bảy
2   bây
1   ới
1   ấp
1   ơ
1   đức
1   đợi
1   đồng
1   đọc
1   đề
1   đặc
1   đạc
1   đường
1   đã
1   đa
1   ông
1   ôi
1   ò
1   á
1   zalo
1   xử
1   xê
1   xiển
1   xem
1   xe
1   vừa
1   vợ
1   vẽ
1   vật
1   vận
1   văn
1   vì
1   vê
1   vào
1   việc
1   từ
1   tờ
1   tổng
1   tý
1   tên
1   tá
1   tài
1   trực
1   trả
1   trường
1   trì
1   trang
1   toét
1   to
1   tiếp
1   thử
1   thọ
1   thấy
1   thư
1   thơm
1   thôn
1   thêm
1   thuộc
1   thuốc
1   thoại
1   ta
1   số
1   sắc
1   sậy
1   sinh
1   sava
1   sao
1   sam
1   quạt
1   phụng
1   nửa
1   nặng
1   nơi
1   năm
1   nói
1   nhỡ
1   nhớ
1   nhỉ
1   nhắn
1   nhận
1   nhé
1   nhà
1   ngắn
1   ngân
1   nguyện
1   nguyễn
1   nguyên
1   nghị
1   nghe
1   nay
1   mỹ
1   mén
1   mãi
1   mua
1   minh
1   lắm
1   lý
1   lên
1   láo
1   liệu
1   lao
1   la
1   ký
1   kính
1   kém
1   kiệt
1   kia
1   khoản
1   im
1   i
1   hủy
1   hội
1   hỏi
1   học
1   hùng
1   hành
1   hoặc
1   hoa
1   hiệu
1   hiền
1   hai
1   gớm
1   gì
1   giả
1   dụng
1   dùng
1   dài
1   cứ
1   cục
1   cũng
1   cô
1   cám
1   con
1   chắc
1   chính
1   chín
1   chào
1   chuẩn
1   chi
1   bực
1   bộ
1   bọn
1   bị
1   bơm
1   béo
1   bãi
1   bán
1   biết
1   bao
1   ao
1   an
1   

INSERTIONS: count hyp
8   lô
6   rồi
4   thì
3   ok
3   chị
3   cho
3   bên
2   ừ
2   được
2   ý
2   thế
2   ra
2   phải
2   mình
2   lại
2   hàng
2   có
2   cái
2   anh
1   ở
1   ờ
1   ạ
1   đấy
1   đơn
1   đúng
1   đâu
1   điện
1   ép
1   vợ
1   vào
1   tớ
1   tơ
1   thành
1   sao
1   qua
1   phố
1   nó
1   này
1   nào
1   nhở
1   nhận
1   mươi
1   mét
1   mà
1   mank
1   là
1   kê
1   khu
1   hết
1   hạ
1   hà
1   hoàng
1   gọi
1   gì
1   giờ
1   giá
1   ghi
1   em
1   của
1   công
1   chỉ
1   chính
1   chào
1   bây
1   ba
1   a

PER-WORD STATS: word  corr tot_errs count_in_ref count_in_hyp
em   226 59 277 234
rồi   70 55 104 91
thì   65 41 90 81
chị   141 41 170 153
không   172 38 200 182
anh   103 38 129 115
là   99 36 124 110
ạ   105 35 133 112
vầng   36 35 52 55
dạ   24 34 49 33
ở   59 32 80 70
vâng   11 32 36 18
đấy   38 31 55 52
à   10 30 31 19
có   122 30 138 136
thế   34 29 50 47
a   53 27 69 64
ấy   12 24 29 19
ý   34 23 48 43
lô   50 23 63 60
cho   81 22 95 89
bưu   65 20 74 76
được   45 19 56 53
mình   71 19 84 77
lại   41 19 53 48
cái   74 19 85 82
bên   44 18 54 52
đi   24 17 36 29
nhá   49 17 61 54
này   32 16 40 40
nó   14 15 22 21
để   33 14 42 38
đúng   30 14 36 38
lấy   9 14 21 11
gì   32 14 37 41
phải   32 13 40 37
mà   48 13 56 53
của   50 13 56 57
bảo   33 13 42 37
đến   20 12 28 24
đây   11 12 18 16
điện   51 12 60 54
với   15 12 23 19
ok   7 12 13 13
ô   0 11 9 2
xem   12 11 16 19
số   27 11 32 33
ơi   35 10 45 35
đơn   48 10 51 55
sao   6 10 12 10
kê   1 10 9 3
hay   6 10 14 8
ba   24 10 31 27
alo   0 10 10 0
ừ   0 9 5 4
về   18 9 21 24
vì   15 9 21 18
ra   14 9 19 18
năm   23 9 27 28
hàng   56 9 61 60
hoàn   7 9 14 9
hai   44 9 47 50
gọi   39 9 43 44
giờ   32 9 38 35
vào   6 8 11 9
thôi   8 8 13 11
ngày   18 8 24 20
hôm   21 8 27 23
cảm   9 8 14 12
chỗ   6 8 13 7
chưa   14 8 20 16
bảy   17 8 24 18
đâu   21 7 23 26
xong   4 7 6 9
văn   5 7 10 7
thanh   9 7 14 11
nào   17 7 21 20
nhớ   4 7 9 6
nhưng   11 7 16 13
như   7 7 12 9
một   53 7 58 55
lưu   10 7 16 11
gửi   21 7 25 24
chuyển   19 7 25 20
biết   8 7 13 10
ai   4 7 11 4
ơn   13 6 18 14
và   2 6 5 5
từ   14 6 17 17
tên   12 6 16 14
thấy   14 6 15 19
nên   6 6 10 8
nhở   16 6 19 19
nhà   22 6 26 24
mai   22 6 27 23
lăm   2 6 5 5
bạn   39 6 41 43
báo   12 6 13 17
ờ   0 5 4 1
đưa   0 5 3 2
đã   7 5 9 10
thẻ   14 5 15 18
ta   16 5 17 20
shop   3 5 8 3
qua   10 5 11 14
phát   29 5 33 30
nhận   34 5 37 36
nha   0 5 2 3
nguyễn   12 5 14 15
lên   2 5 4 5
hủy   2 5 6 3
hộ   4 5 8 5
hỏi   3 5 4 7
hả   7 5 8 11
hà   19 5 23 20
giả   0 5 3 2
cả   2 5 7 2
chỉ   23 5 23 28
bẩy   2 5 3 6
bây   12 5 15 14
đức   7 4 11 7
xã   4 4 8 4
vậy   2 4 6 2
tôi   6 4 10 6
tá   20 4 23 21
thông   3 4 7 3
thoại   9 4 12 10
sẽ   5 4 7 7
sáu   24 4 27 25
sau   4 4 5 7
nữa   7 4 10 8
nội   17 4 21 17
nếu   9 4 13 9
nói   1 4 2 4
người   26 4 29 27
mới   10 4 13 11
mười   15 4 16 18
minh   2 4 4 4
làm   10 4 14 10
học   3 4 6 4
hòa   3 4 4 6
giúp   19 4 22 20
giao   10 4 11 13
cứ   8 4 10 10
cầu   6 4 9 7
cám   1 4 5 1
con   0 4 3 1
chứ   4 4 7 5
chính   5 4 6 8
bọn   5 4 9 5
đồng   4 3 6 5
đọc   5 3 8 5
địa   24 3 25 26
đường   5 3 7 6
đang   12 3 15 12
á   3 3 6 3
y   8 3 10 9
xe   0 3 2 1
xanh   0 3 0 3
vợ   0 3 2 1
tám   23 3 26 23
trường   3 3 5 4
trên   10 3 10 13
trong   5 3 8 5
tiếp   8 3 10 9
thử   1 3 2 3
thị   10 3 10 13
tao   0 3 3 0
phong   0 3 3 0
nghe   10 3 11 12
nay   17 3 20 17
mỹ   3 3 6 3
mất   3 3 6 3
lý   3 3 5 4
luôn   14 3 14 17
linh   2 3 4 3
ký   1 3 3 2
khách   23 3 25 24
họ   4 3 7 4
hải   1 3 2 3
hông   0 3 2 1
ghi   4 3 6 5
dưới   2 3 4 3
cơ   2 3 5 2
cô   1 3 3 2
các   7 3 8 9
chắc   4 3 7 4
chín   30 3 33 30
chào   18 3 20 19
bốn   22 3 22 25
bị   2 3 4 3
bật   1 3 1 4
bao   6 3 8 7
an   1 3 3 2
ơ   0 2 2 0
ông   1 2 2 2
xê   2 2 4 2
xin   4 2 6 4
vệ   1 2 3 1
vẫn   5 2 5 7
vũ   2 2 4 2
vê   1 2 2 2
việc   1 2 2 2
viết   1 2 2 2
v   0 2 0 2
tổng   0 2 1 1
tại   10 2 12 10
tý   0 2 2 0
tuyến   0 2 2 0
trợ   4 2 4 6
trị   1 2 1 3
trả   2 2 4 2
trăm   10 2 10 12
trung   5 2 7 5
tiền   6 2 6 8
tiến   0 2 1 1
thể   2 2 4 2
thưa   0 2 1 1
thơm   0 2 2 0
thôn   1 2 2 2
thêm   0 2 2 0
thành   3 2 4 4
thuộc   1 2 3 1
thuốc   0 2 1 1
thiện   0 2 0 2
sửa   2 2 3 3
suốt   1 2 1 3
sava   0 2 2 0
quốc   1 2 3 1
quạt   0 2 2 0
quá   3 2 4 4
phạm   1 2 3 1
phượng   1 2 2 2
phường   3 2 3 5
phú   2 2 3 3
nhờ   2 2 2 4
nhầm   2 2 4 2
nhé   0 2 2 0
nhu   2 2 4 2
nguyên   1 2 3 1
nghỉ   3 2 5 3
nghĩa   1 2 3 1
nam   0 2 1 1
mấy   7 2 9 7
mươi   14 2 15 15
mùng   2 2 4 2
máy   10 2 10 12
màu   0 2 1 1
mua   0 2 1 1
lỡ   0 2 2 0
lắm   2 2 3 3
lê   5 2 6 6
la   0 2 1 1
kính   0 2 2 0
kia   4 2 6 4
khu   3 2 3 5
kho   2 2 2 4
khi   1 2 2 2
kem   0 2 1 1
hướng   0 2 2 0
hành   2 2 4 2
hoặc   2 2 3 3
hoàng   1 2 1 3
hoà   0 2 2 0
hiệu   3 2 4 4
hiểu   3 2 4 4
giữ   0 2 2 0
giá   2 2 3 3
dùng   1 2 2 2
cục   7 2 8 8
cổng   0 2 2 0
cố   1 2 1 3
cầm   1 2 3 1
cước   1 2 2 2
cư   1 2 2 2
cũng   8 2 9 9
cúp   0 2 2 0
còn   5 2 6 6
cuối   1 2 3 1
chả   0 2 1 1
cháu   1 2 1 3
chuẩn   0 2 2 0
chiều   10 2 12 10
chi   1 2 2 2
bạch   0 2 2 0
béo   0 2 2 0
bãi   0 2 2 0
bà   2 2 3 3
biên   0 2 0 2
ừm   0 1 0 1
ứng   0 1 0 1
ới   0 1 1 0
ổ   0 1 1 0
ắc   0 1 0 1
ấp   0 1 1 0
ấn   0 1 0 1
ảnh   0 1 1 0
đứa   0 1 1 0
đợi   6 1 7 6
đổi   2 1 2 3
đống   0 1 1 0
đề   2 1 3 2
đặt   7 1 8 7
đặng   1 1 2 1
đặc   0 1 1 0
đẩy   1 1 2 1
đạo   0 1 1 0
đạc   0 1 1 0
đưang   0 1 0 1
đóng   12 1 12 13
đó   3 1 4 3
đáng   0 1 1 0
đào   0 1 0 1
đuôi   0 1 1 0
điệnk   0 1 0 1
điển   0 1 1 0
điêu   0 1 0 1
đan   0 1 1 0
đai   0 1 0 1
đa   1 1 2 1
ôi   0 1 1 0
ò   0 1 1 0
ét   0 1 0 1
ép   0 1 0 1
áo   1 1 1 2
zalo   1 1 2 1
yến   1 1 2 1
yêu   3 1 4 3
xử   3 1 4 3
xót   0 1 0 1
xá   0 1 0 1
xuống   0 1 0 1
xuân   2 1 3 2
xiển   0 1 1 0
xa   0 1 1 0
vừa   5 1 6 5
vỏ   0 1 1 0
vẽ   0 1 1 0
vật   1 1 2 1
vận   1 1 2 1
vĩnh   0 1 0 1
võ   0 1 1 0
vui   0 1 0 1
vp   0 1 0 1
việtco   0 1 0 1
